ID;name;PA;b2a;dist;PSF;R_25;Mass;error_Mass;lSFR;error_lSFR;T-type;bar;merge
2;UGC00005;135.978;0.51;109.5;3.167;12.831;11.119;0.085;0.8971;0.0594;13;0;0
3;NGC7819;183.705;0.537;74.9;2.742;9.6115;10.426;0.082;0.3922;0.06;14;0;0
5;IC1528;163.339;0.369;57.2;2.132;8.8225;10.446;0.088;0.2054;0.06;13;1;0
8;NGC0001;187.581;0.691;67.6;2.034;8.5175;10.878;0.09;0.7136;0.0611;13;0;0
9;NGC0023;234.771;0.523;68.1;3.094;9.7855;11.33;0.082;1.2601;0.0603;12;2;0
10;NGC0036;105.183;0.636;91.2;1.663;13.202;11.151;0.091;0.5311;0.0601;12;2;0
11;UGC00139;166.914;0.42;59;2.147;9.3175;10.019;0.098;0.0286;0.0578;15;0;0
14;UGC00312;101.698;0.388;64.9;2.339;7.1785;10.196;0.089;0.6169;0.0594;16;2;0
30;NGC0237;265.984;0.625;62.2;2.067;7.4935;10.501;0.09;0.4385;0.0578;14;2;0
31;NGC0234;167.298;0.83;66.7;2.68;7.497;10.874;0.075;0.8683;0.0594;14;1;0
33;NGC0257;186.921;0.596;78.5;2.25;10.616;11.118;0.093;0.9081;0.0599;14;0;0
34;NGC0309;226.112;0.925;84.9;2.269;12.852;11.008;0.081;0.6348;0.0566;15;2;0
42;NGC0477;233.233;0.636;88;2.355;11.5315;10.791;0.09;0.5029;0.0598;13;1;0
45;NGC0496;121.964;0.609;89.9;2.816;10.1835;10.781;0.106;0.657;0.0622;15;0;0
48;NGC0523;183.023;0.317;72.6;2.462;9.373;10.852;0.092;0.4889;0.0569;16;1;1
52;NGC0551;226.88;0.434;78;2.28;10.038;10.833;0.102;0.3171;0.0587;13;1;0
58;IC0159;121.494;0.681;58.1;2.517;6.688;10.058;0.1;0.1405;0.0615;17;2;0
71;NGC0768;119.874;0.404;104.9;1.969;15.1015;10.894;0.084;0.7121;0.0578;14;2;0
73;NGC0776;228.852;0.85;73.5;2.768;9.022;11.016;0.085;0.5673;0.0595;12;2;0
81;UGC01659;126.642;0.403;123.8;2.312;17.168;10.951;0.097;0.4935;0.0603;14;2;0
84;NGC0873;232.854;0.797;59.9;2.589;7.212;10.705;0.083;0.8864;0.0597;15;0;0
107;NGC1094;179.225;0.688;96.7;2.153;11.966;11.007;0.092;0.7172;0.062;12;1;0
108;NGC1093;188.16;0.633;79.4;2.213;9.7445;10.784;0.084;0.1235;0.0595;13;2;0
109;UGC02311;156.289;0.739;107.2;2.56;12.221;11.002;0.089;0.403;0.0581;13;2;0
116;UGC02405;255.5;0.352;116;2.45;14.717;11.096;0.093;0.4445;0.0635;13;0;0
117;UGC02443;253.061;0.521;37.4;2.594;4.4665;9.841;0.099;-0.4763;0.0604;15;0;0
125;UGC02690;237.748;0.421;94.4;2.45;10.725;10.496;0.129;0.5272;0.0639;15;1;0
130;MCG-01-10-019;106.26;0.579;78.5;2.374;10.1975;10.435;0.095;-0.0278;0.0593;13;1;0
137;NGC1659;144.69;0.6;68.1;2.88;8.4385;10.674;0.09;0.5849;0.0579;13;1;0
140;NGC1667;254.764;0.714;68.1;3.061;8.5275;11.148;0.087;1.1728;0.0567;13;2;0
147;NGC2253;220.264;0.694;53.6;2.015;6.7875;10.743;0.102;0.5834;0.0613;13;2;0
149;NGC2347;92.74;0.59;66.7;2.478;8.7855;10.894;0.089;0.564;0.0606;13;1;0
152;UGC03944;211.49;0.512;58.1;2.85;6.5065;10.031;0.119;-0.111;0.0606;13;1;0
