Name,COVelDisp,eCOVelDisp,flag
IC0480,20.3,4.3,0
IC0944,23.3,10.1,1
IC1199,11.1,5.5,0
IC2247,30.1,6.1,1
IC2487,17.7,6.8,0
IC4566,14.2,6.4,1
IC5376,19.3,11,1
NGC0477,13.5,10.2,1
NGC0496,10.4,6.3,1
NGC0523,21.4,5.5,1
NGC0551,10.2,6,1
NGC1167,13.3,10,0
NGC2253,9.2,2.5,0
NGC2347,10.1,4,1
NGC2410,17.6,7.5,1
NGC2487,10.2,7.1,1
NGC2623,14.9,8,0
NGC2639,16.3,4.8,1
NGC2730,12.9,8.2,0
NGC2906,10.2,3.5,1
NGC2916,14,7.6,1
NGC3811,11.7,6,0
NGC3815,15.1,5.1,0
NGC4047,9.5,2.4,0
NGC4210,10.9,7.3,0
NGC4470,13.2,8.3,0
NGC4644,16.6,8.1,1
NGC4711,10,4.4,1
NGC5000,12.5,6.1,0
NGC5016,11.3,5.6,1
NGC5056,11.9,6.3,0
NGC5218,18.4,4.2,0
NGC5394,20.3,1.5,0
NGC5406,14.6,9.8,0
NGC5480,11.2,3.5,0
NGC5520,13.4,6.8,0
NGC5614,22.3,3.9,1
NGC5633,11.3,2.5,1
NGC5908,24.6,3.6,1
NGC5930,13.5,15.2,1
NGC5947,11,8.8,0
NGC5953,16.5,5.8,1
NGC5980,12.3,2.3,0
NGC6004,10,4.4,1
NGC6060,10.1,4.7,1
NGC6155,8.4,3.6,0
NGC6168,15.2,7.5,1
NGC6186,27.3,4.2,1
NGC6301,11.3,5.4,0
NGC6361,19.2,1.8,1
NGC6394,30.6,10.6,0
NGC6478,26.5,5.6,0
UGC00809,16.2,10.8,0
UGC03539,20.5,4.2,1
UGC03969,24.7,7.8,0
UGC03973,17.2,8.5,1
UGC04029,13.8,4.8,0
UGC04132,15.8,3.9,1
UGC05111,15.4,3.6,0
UGC05359,19.3,9.9,1
UGC08107,28.1,7.2,0
UGC08267,22.7,6.1,0
UGC09067,14.1,7.6,1
UGC09476,13.6,9,0
UGC09537,22.4,9.2,0
UGC09542,13.4,6.3,1
UGC09665,19,5.8,1
UGC09892,16,10,1
UGC10123,16,3.3,0
UGC10384,18.9,6.2,1
