name,PA,ellipticity,i,distance,R_25,PSF,Mass,error_Mass,lSFR,error_lSFR,L_K19N2O2_50,L_K19N2O2_16,L_K19N2O2_84,L_PPN2_50,L_PPN2_16,L_PPN2_84,L_PPO3N2_50,L_PPO3N2_16,L_PPO3N2_84
UGC00005,136,0.49,60,109.5,12.831,3.17,11.119,0.085,0.897,0.059,1.436,1.259,1.627,1.248,1.148,1.347,0.987,0.908,1.065
NGC7819,184,0.463,58,74.9,9.611,2.74,10.426,0.082,0.392,0.060,0.342,0.202,0.442,0.358,0.286,0.46,0.418,0.321,0.487
IC1528,163,0.631,70,57.2,8.822,2.13,10.446,0.088,0.205,0.060,0.575,0.492,0.642,0.957,0.92,0.991,0.67,0.636,0.702
NGC0001,188,0.309,47,67.6,8.518,2.03,10.878,0.09,0.714,0.061,1.014,0.785,1.155,0.517,0.473,0.58,0.507,0.457,0.554
NGC0023,235,0.477,59,68.1,9.785,3.09,11.33,0.082,1.260,0.060,0.405,0.23,0.532,3.156,3.034,3.276,0.669,0.467,36.942
NGC0036,105,0.364,51,91.2,13.202,1.66,11.151,0.091,0.531,0.060,0.918,0.709,1.151,0.498,0.341,0.571,0.799,0.661,0.892
UGC00139,167,0.58,66,59,9.318,2.15,10.019,0.098,0.029,0.058,0.813,0.764,0.86,0.718,0.671,0.756,0.716,0.688,0.739
UGC00312,102,0.612,68,64.9,7.179,2.34,10.196,0.089,0.617,0.059,0.831,0.801,0.861,2.354,2.231,2.476,3.058,2.965,3.157
NGC0237,266,0.375,52,62.2,7.494,2.07,10.501,0.09,0.439,0.058,1.466,1.376,1.555,1.072,1.035,1.109,2.074,1.975,2.179
NGC0234,167,0.17,34,66.7,7.497,2.68,10.874,0.075,0.868,0.059,0.619,0.593,0.647,0.295,0.245,0.329,0.897,0.856,0.934
NGC0257,187,0.404,54,78.5,10.616,2.25,11.118,0.093,0.908,0.060,1.199,1.138,1.269,1.122,1.061,1.184,1.024,0.956,1.095
NGC0309,226,0.075,23,84.9,12.852,2.27,11.008,0.081,0.635,0.057,0.723,0.645,0.805,0.521,0.485,0.556,0.688,0.638,0.739
NGC0477,233,0.364,51,88,11.532,2.36,10.791,0.09,0.503,0.060,2.062,1.858,2.297,0.566,0.455,0.622,3.25,3.096,3.412
NGC0496,122,0.391,53,89.9,10.184,2.82,10.781,0.106,0.657,0.062,0.669,0.491,0.925,0.307,0.221,0.369,0.709,0.622,0.773
NGC0523,183,0.683,73,72.6,9.373,2.46,10.852,0.092,0.489,0.057,3.164,2.736,3.707,3.945,3.284,4.678,3.827,3.504,4.204
NGC0551,227,0.566,65,78,10.038,2.28,10.833,0.102,0.317,0.059,1.252,1.038,1.437,0.466,0.268,0.614,0.709,0.568,0.796
IC0159,121,0.319,48,58.1,6.688,2.52,10.058,0.1,0.141,0.062,0.217,0.176,0.249,0.925,0.867,0.988,0.373,0.341,0.399
NGC0768,120,0.596,67,104.9,15.102,1.97,10.894,0.084,0.712,0.058,1.749,1.671,1.84,2.607,2.399,2.873,19.019,15.128,22.506
NGC0776,229,0.15,32,73.5,9.022,2.77,11.016,0.085,0.567,0.060,0.42,0.311,0.505,0.114,0.063,0.164,0.879,0.817,0.932
UGC01659,127,0.597,67,123.8,17.168,2.31,10.951,0.097,0.494,0.060,1.418,1.147,1.623,1.017,0.931,1.094,2.354,2.117,2.594
NGC0873,233,0.203,38,59.9,7.212,2.59,10.705,0.083,0.886,0.060,2.897,2.718,3.123,0.912,0.865,0.959,1.535,1.608,1.609
NGC1094,179,0.312,47,96.7,11.966,2.15,11.007,0.092,0.717,0.062,0.618,0.539,0.692,0.272,0.161,0.397,0.511,0.427,0.578
NGC1093,188,0.367,51,79.4,9.745,2.21,10.784,0.084,0.124,0.060,0.843,0.632,1.186,0.598,0.539,0.66,0.293,0.184,2.566
UGC02311,156,0.261,43,107.2,12.221,2.56,11.002,0.089,0.403,0.058,0.122,0.063,0.219,0.421,0.3,0.519,1.507,1.337,1.706
UGC02405,256,0.648,71,116,14.717,2.45,11.096,0.093,0.445,0.064,1.571,1.009,2.467,2.022,1.742,2.369,10.201,7.333,13.529
UGC02443,253,0.479,59,37.4,4.466,2.59,9.841,0.099,-0.476,0.060,1.121,1.003,1.271,0.158,0.1,1.826,0.202,0.122,0.249
UGC02690,238,0.579,66,94.4,10.725,2.45,10.496,0.129,0.527,0.064,1.497,1.307,1.709,1.633,1.483,1.803,5.768,5.086,6.526
MCG-01-10-019,106,0.421,55,78.5,10.197,2.37,10.435,0.095,-0.028,0.059,0.44,0.297,0.523,0.423,0.349,0.473,0.402,0.318,0.473
